 15921311626 4112 7 62266666612 6 5666 666 526 54  5 6226 561 11  61112661666154122222111222221222212 81 91121222666666666 311222223222126612222213 5332141416122343321122 3 9 41126666666611.3692109161.369210916266220.4372476940.3730516342400 00
  6211311626 4112 7 62266666612 6 466666 3 166 61  6 6226 461 83  53211111666165222222222212221222222 91121211222666666666 422321212111216621112123 4221266516234415121222 6 8 32126666666610.9576978240.957697824155220.3613593630.2825699872111 75
 5642 919626 3132 6776766666663 96666666666666666666 1616 916 62  24431232666152122222222212122222222993772222222666666666 212122222111146622122124 5452166516232244422122 4 4 31212122222110.5950927420.595092742233370.6794365050.8854609317112 60
 77021411626 3232 7 6226666661511 166666 6 866 32  36666666666666661112661666225322222222212221222222 71 91222212666666666 41331222455341 221111111 22112514 8232242421222 2 1 22226666666610.4231910340.423191034266410.3379397010.3657035761111108
 41521011626 4112 7 32266662662 7 5666 166 316 56  5 6226 561 62  61111111666125121221111222221222222 51 61222221222212222 351123222521216622122212 5332151416121242421222 3 5 61126666666610.8985664360.898566436244240.606059903 0.696157684112 60
 4861 911626 4112 7 1611661666511 5616 566 836 36  3 1616 566115  44532662666254522212222221222212222 91131111112666666666 423312221132226622122223 31221564 6234524121222 8 7 52126666666610.5245296410.524529641133410.5862175160.7518395711111108
  5711011626 4112 7 1616666666511 926666661066 31  3 1616 266115  34621341666185122222122221122222212101131111112666666666 442412221222226621112212 71221414 9235525221222 5 2 51126666666611.0527669071.052766907144431.7794080991.5312452683120 00
 67221411626 4112 7 62266666612 6 466666 2 566 46  4 6226 461 93  43211211666175122222121222221222212 61101112122666666666 412311212511116621222112 42121515 9224525221222 3 2 11126666666611.5228131411.52281314126626 0.782376780.9255953476112 60
 6412 611626 2122 4 1611662666410 161666 6 966 32  3 1616 166104  44431232666143222222222211222212222 71121112222666666666 423412212221136622122123 41221565 6234424221222 3 1 51126666666610.4786643220.478664322222320.4702128090.5655225792112 70
 20121311626 536666776766666661 466666666666666666666666666666666661111211666244522222222122221222222 41 62212222666666666 212123223141146622112213 5332151416123333321112 3 7 12226666666610.5114335540.511433554266120.3060097730.3123475442111 76
 5342 911626 4112 6 16116626663 9 361666 4 666 51  5 1616 566 72  63211121666175222222122221222222222 62101122221222222221 32232221122221 122121213 42321414 8225524221122 5 8 61126666666610.6397742940.639774294233340.7207562240.9588443274120 00
 79921211626 536666 62266666611 4 5666 1661116 56  566666666666666611113131 5233222222122222221221222 32 52232222666666666 322221223121156622122213 5452151416121243422112 3 8 61112122222111.5281603531.528160353255150.5653778560.7256378855300 01
 29321311626 4112 7 62266666611 5 6666 6661016 51  5 6226 911 51  23211211666165122222111222221222212 91121122222666666666 412322222233226622212312 6222141410133524221222 2 1 21126666666612.2227255462.222725546266162.1396566153.0283821086300 00
 7722 811626 536666 1611661666511 161666 6 966 41  46666666666666662332661666164222222222211222212221101131211222666666666 413312211322226621122112 42421515 9233424221222 5 4 41126666666610.2948254460.294825446233470.5177466650.6707673167111 97
 82611211626 4112 7 62266666611 4 5666 4661136 36  3 6226 361 51  51111111666155222222222212221222222 91111111121222222221 533323212221126622122112 6222151516234424221222 6 8 41226666666611.1268802361.126880236155131.3851827211.1808141853111 76
