"DEPCOM";"PTOT"
"07102";10758
"07103";315
"07104";90
"07105";101
"07106";138
"07107";1253
"07108";124
"07109";299
"07110";1737
"07111";172
"07112";250
"07113";303
"07114";203
"07115";674
"07116";1375
"07117";2174
"07118";141
"07119";269
"07120";62
"07121";195
"07122";1632
"07123";169
"07124";38
"07126";1161
"07127";1112
"07128";382
"07129";2338
"07130";202
"07131";452
"07132";1598
"07133";241
"07134";1007
"07136";105
"07137";45
"07138";2180
"07139";107
"07140";782
"07141";230
"07142";321
"07143";767
"07144";43
"07145";1163
"07146";604
"07147";243
"07148";145
"07149";287
"07150";564
"07151";261
"07152";1180
"07153";263
"07154";122
"07155";1203
"07156";922
"07157";1335
"07158";97
"07159";685
"07160";62
"07161";739
"07162";571
"07163";81
"07165";551
"07166";254
"07167";992
"07168";588
"07169";389
"07170";241
"07171";536
"07172";2219
"07173";49
"07174";487
"07175";79
"07176";144
"07177";851
"07178";571
"07179";132
"07181";2872
"07182";1185
"07183";470
"07184";507
"07185";696
"07186";8361
"07187";135
"07188";1657
"07189";306
"07190";214
"07191";2299
"07192";251
"07193";274
"07194";452
"07195";60
"07196";253
"07197";2762
"07198";1106
"07199";1219
"07200";56
"07201";2268
"07202";167
"07203";117
"07204";2347
"07205";1406
"07206";84
"07207";1087
"07208";124
"07209";53
"07210";525
